elevator_id,ts_ms,ts,data_ts_ms,data_age_ms,is_new_frame,Ax,Ay,Az,Gx,Gy,Gz,vx,vy,vz,ax,ay,az,t,sx,sy,sz,fx,fy,fz,A_mag,G_mag
elevator-unknown,1773733109077,2026-03-17 15:38:29.077,1773733109070,7,1,-0.58447265625,0.80615234375,0.01318359375,-0.3662109375,0.79345703125,0.8544921875,0,0,0,0.0,0.0,0.0,27.96,,,,,,,0.995823124044483,1.222228051422167
elevator-unknown,1773733109099,2026-03-17 15:38:29.099,1773733109097,2,1,-0.5810546875,0.80615234375,0.01220703125,-0.1220703125,0.54931640625,0.732421875,0,0,0,0.0,0.0,0.0,27.77,,,,,,,0.9938084135341576,0.9236295135755345
elevator-unknown,1773733109131,2026-03-17 15:38:29.131,1773733109121,10,1,-0.5810546875,0.806640625,0.015625,-0.18310546875,0.67138671875,0.732421875,0,0,0,0.0,0.0,0.0,27.83,,,,,,,0.9942523766082298,1.0103116062772735
elevator-unknown,1773733109152,2026-03-17 15:38:29.152,1773733109146,6,1,-0.580078125,0.8076171875,0.01220703125,-0.244140625,0.79345703125,0.67138671875,0,0,0,0.0,0.0,0.0,27.77,,,,,,,0.9944270532627641,1.0676791799643495
elevator-unknown,1773733109174,2026-03-17 15:38:29.174,1773733109171,3,1,-0.583984375,0.8056640625,0.01318359375,-0.1220703125,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,27.96,,,,,,,0.9951412658473718,1.0429692071920815
elevator-unknown,1773733109206,2026-03-17 15:38:29.206,1773733109196,10,1,-0.58349609375,0.806640625,0.01123046875,-0.1220703125,0.6103515625,0.732421875,0,0,0,0.0,0.0,0.0,27.96,,,,,,,0.9956218723743689,0.9611826018080823
elevator-unknown,1773733109227,2026-03-17 15:38:29.227,1773733109221,6,1,-0.58203125,0.80517578125,0.01318359375,-0.18310546875,0.67138671875,0.732421875,0,0,0,0.0,0.0,0.0,28.09,,,,,,,0.9936006349798069,1.0103116062772735
elevator-unknown,1773733109249,2026-03-17 15:38:29.249,1773733109246,3,1,-0.58349609375,0.80419921875,0.009765625,0.0,0.67138671875,0.67138671875,0,0,0,0.0,0.0,0.0,27.96,,,,,,,0.99362942905857,0.9494842032534208
elevator-unknown,1773733109271,2026-03-17 15:38:29.271,1773733109271,0,1,-0.58349609375,0.80712890625,0.00927734375,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,28.09,,,,,,,0.9959974055352181,1.0952367214920875
elevator-unknown,1773733109303,2026-03-17 15:38:29.303,1773733109296,7,1,-0.583984375,0.806640625,0.01220703125,-0.30517578125,0.732421875,0.67138671875,0,0,0,0.0,0.0,0.0,27.83,,,,,,,0.9959196050668295,1.0393912576859377
