sample_idx,ts_ms,Ax,Ay,Az,Gx,Gy,Gz,vx,vy,vz,ax,ay,az,t,sx,sy,sz,fx,fy,fz
0,1772696444794,-0.1005859375,0.05126953125,-0.96484375,-0.18310546875,0.732421875,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
1,1772696444804,-0.1005859375,0.05126953125,-0.96484375,-0.18310546875,0.732421875,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
2,1772696444815,-0.1005859375,0.05126953125,-0.96484375,-0.18310546875,0.732421875,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
3,1772696444825,-0.1005859375,0.05126953125,-0.96484375,-0.18310546875,0.732421875,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
4,1772696444835,-0.1005859375,0.05126953125,-0.96484375,-0.18310546875,0.732421875,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
5,1772696444846,-0.1005859375,0.05126953125,-0.96484375,-0.18310546875,0.732421875,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
6,1772696444856,-0.1005859375,0.05126953125,-0.96484375,-0.18310546875,0.732421875,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
7,1772696444866,-0.1005859375,0.05126953125,-0.96484375,-0.18310546875,0.732421875,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
8,1772696444877,-0.1005859375,0.05126953125,-0.96484375,-0.18310546875,0.732421875,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
9,1772696444888,-0.1005859375,0.05126953125,-0.96484375,-0.18310546875,0.732421875,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
10,1772696444899,-0.1005859375,0.05126953125,-0.96484375,-0.18310546875,0.732421875,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
11,1772696444909,-0.1005859375,0.05126953125,-0.96484375,-0.18310546875,0.732421875,0.79345703125,0,0,0,0.0,0.0,0.0,26.64,0,0,0,0,0,0
12,1772696444919,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
13,1772696444930,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
14,1772696444941,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
15,1772696444951,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
16,1772696444961,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
17,1772696444972,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
18,1772696444982,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
19,1772696444992,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
20,1772696445003,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
21,1772696445013,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
22,1772696445023,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
23,1772696445034,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
24,1772696445044,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
25,1772696445054,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
26,1772696445065,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
27,1772696445075,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
28,1772696445085,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
29,1772696445096,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
30,1772696445106,-0.09912109375,0.05224609375,-0.96240234375,-0.18310546875,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,26.7,0,0,0,0,0,0
31,1772696445116,-0.10107421875,0.05322265625,-0.96484375,-0.18310546875,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,26.57,0,0,0,0,0,0
32,1772696445127,-0.10107421875,0.05322265625,-0.96484375,-0.18310546875,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,26.57,0,0,0,0,0,0
33,1772696445137,-0.10107421875,0.05322265625,-0.96484375,-0.18310546875,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,26.57,0,0,0,0,0,0
34,1772696445148,-0.10107421875,0.05322265625,-0.96484375,-0.18310546875,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,26.57,0,0,0,0,0,0
35,1772696445158,-0.10107421875,0.05322265625,-0.96484375,-0.18310546875,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,26.57,0,0,0,0,0,0
36,1772696445169,-0.10107421875,0.05322265625,-0.96484375,-0.18310546875,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,26.57,0,0,0,0,0,0
37,1772696445179,-0.10107421875,0.05322265625,-0.96484375,-0.18310546875,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,26.57,0,0,0,0,0,0
38,1772696445189,-0.10107421875,0.05322265625,-0.96484375,-0.18310546875,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,26.57,0,0,0,0,0,0
39,1772696445200,-0.10107421875,0.05322265625,-0.96484375,-0.18310546875,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,26.57,0,0,0,0,0,0
40,1772696445210,-0.10107421875,0.05322265625,-0.96484375,-0.18310546875,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,26.57,0,0,0,0,0,0
41,1772696445220,-0.10107421875,0.05322265625,-0.96484375,-0.18310546875,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,26.57,0,0,0,0,0,0
42,1772696445231,-0.10107421875,0.05322265625,-0.96484375,-0.18310546875,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,26.57,0,0,0,0,0,0
43,1772696445241,-0.10107421875,0.05322265625,-0.96484375,-0.18310546875,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,26.57,0,0,0,0,0,0
44,1772696445251,-0.10107421875,0.05322265625,-0.96484375,-0.18310546875,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,26.57,0,0,0,0,0,0
45,1772696445262,-0.10107421875,0.05322265625,-0.96484375,-0.18310546875,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,26.57,0,0,0,0,0,0
