elevator_id,ts_ms,ts,data_ts_ms,data_age_ms,is_new_frame,Ax,Ay,Az,Gx,Gy,Gz,vx,vy,vz,ax,ay,az,t,sx,sy,sz,fx,fy,fz,A_mag,G_mag
elevator-001,1772504354169,2026-03-03 10:19:14.169,1772504354164,5,1,-0.77001953125,0.63232421875,0.0048828125,-0.30517578125,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,24.74,0,0,0,0,4,7,0.9963873935283293,1.2053477574543152
elevator-001,1772504356496,2026-03-03 10:19:16.496,1772504356494,2,1,-0.767578125,0.6298828125,0.0126953125,-0.244140625,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,24.74,0,0,0,0,1,9,0.9930204964757265,1.1913587216762167
elevator-001,1772504357650,2026-03-03 10:19:17.650,1772504357644,6,1,-0.77001953125,0.630859375,0.0126953125,-0.18310546875,0.8544921875,0.732421875,0,0,0,0.0,0.0,0.0,24.81,0,0,0,0,1,4,0.9955273981620661,1.1402308161785526
elevator-001,1772504360222,2026-03-03 10:19:20.222,1772504360214,8,1,-0.77099609375,0.630859375,0.0087890625,-0.244140625,0.732421875,0.8544921875,0,0,0,0.0,0.0,0.0,24.81,0,0,0,0,0,4,0.9962408219014006,1.1516090249092534
elevator-001,1772504361257,2026-03-03 10:19:21.257,1772504361254,3,1,-0.77001953125,0.63037109375,0.0107421875,-0.244140625,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,24.55,0,0,0,0,0,2,0.995195050698267,1.1070774625986972
elevator-001,1772504361341,2026-03-03 10:19:21.341,1772504361333,8,1,-0.77197265625,0.63330078125,0.01025390625,-0.06103515625,0.79345703125,0.79345703125,0,0,0,0.0,0.0,0.0,24.74,0,0,0,0,0,2,0.9985573614584816,1.1237764062208233
elevator-001,1772504361573,2026-03-03 10:19:21.573,1772504361563,10,1,-0.76953125,0.630859375,0.01318359375,-0.30517578125,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,24.74,0,0,1,0,0,2,0.9951561198606569,1.2053477574543152
elevator-001,1772504366743,2026-03-03 10:19:26.743,1772504366733,10,1,-0.771484375,0.630859375,0.0107421875,-0.42724609375,0.9765625,0.79345703125,0,0,0,0.0,0.0,0.0,24.74,0,0,0,0,0,0,0.9966378913561417,1.3288294102219995
elevator-001,1772504366984,2026-03-03 10:19:26.984,1772504366974,10,1,-0.77001953125,0.63037109375,0.01220703125,-0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,24.68,0,0,0,0,0,0,0.9952119402187554,1.0952367214920875
elevator-001,1772504367121,2026-03-03 10:19:27.121,1772504367114,7,1,-0.77099609375,0.6298828125,0.0107421875,-0.1220703125,0.8544921875,0.8544921875,0,0,0,0.0,0.0,0.0,24.74,0,0,0,0,0,0,0.9956418676677644,1.214584273811792
