elevator_id,ts_ms,ts,data_ts_ms,data_age_ms,is_new_frame,Ax,Ay,Az,Gx,Gy,Gz,vx,vy,vz,ax,ay,az,t,sx,sy,sz,fx,fy,fz,A_mag,G_mag
elevator-unknown,1773735419075,2026-03-17 16:16:59.075,1773735419069,6,1,-0.47021484375,0.8740234375,0.01513671875,-0.06103515625,0.79345703125,0.8544921875,0,0,0,0.0,0.0,0.0,28.09,,,,,,,0.9925966395453241,1.167671293317199
elevator-unknown,1773735419098,2026-03-17 16:16:59.098,1773735419095,3,1,-0.44677734375,0.876953125,0.0341796875,-0.67138671875,0.67138671875,0.8544921875,0,0,0,0.0,0.0,0.0,28.02,,,,,,,0.9847969482960276,1.2773711875278533
elevator-unknown,1773735419122,2026-03-17 16:16:59.122,1773735419119,3,1,-0.4716796875,0.9296875,0.041015625,-0.06103515625,0.6103515625,0.8544921875,0,0,0,0.0,0.0,0.0,28.28,,,,,,,1.0433038180465402,1.0518608361580863
elevator-unknown,1773735419146,2026-03-17 16:16:59.146,1773735419144,2,1,-0.43310546875,0.88623046875,0.03271484375,-0.54931640625,1.15966796875,0.79345703125,0,0,0,0.0,0.0,0.0,28.02,,,,,,,0.9869422737949717,1.508692272254428
elevator-unknown,1773735419170,2026-03-17 16:16:59.170,1773735419170,0,1,-0.41845703125,0.88330078125,0.0166015625,-0.06103515625,0.30517578125,0.54931640625,0,0,0,0.0,0.0,0.0,28.09,,,,,,,0.9775490622147132,0.6313525654778198
elevator-unknown,1773735419195,2026-03-17 16:16:59.195,1773735419194,1,1,-0.45556640625,0.8759765625,0.02734375,0.18310546875,0.79345703125,0.732421875,0,0,0,0.0,0.0,0.0,28.09,,,,,,,0.9877364877420085,1.0952367214920875
elevator-unknown,1773735419229,2026-03-17 16:16:59.229,1773735419220,9,1,-0.42626953125,0.82861328125,0.00927734375,-0.244140625,0.48828125,0.67138671875,0,0,0,0.0,0.0,0.0,28.02,,,,,,,0.9318753952342781,0.8653226854710586
elevator-unknown,1773735419253,2026-03-17 16:16:59.253,1773735419244,9,1,-0.462890625,0.8603515625,0.0400390625,-0.54931640625,0.8544921875,0.79345703125,0,0,0,0.0,0.0,0.0,28.21,,,,,,,0.9777912191950595,1.2889838917201462
elevator-unknown,1773735419277,2026-03-17 16:16:59.277,1773735419269,8,1,-0.46826171875,0.9150390625,0.0283203125,-0.3662109375,0.91552734375,0.79345703125,0,0,0,0.0,0.0,0.0,28.28,,,,,,,1.0282837950914527,1.265651938069319
elevator-unknown,1773735419300,2026-03-17 16:16:59.300,1773735419295,5,1,-0.4501953125,0.87890625,0.02490234375,-0.30517578125,0.6103515625,0.67138671875,0,0,0,0.0,0.0,0.0,28.15,,,,,,,0.9878117950350048,0.9572990198582838
elevator-unknown,1773735419323,2026-03-17 16:16:59.323,1773735419320,3,1,-0.4443359375,0.90673828125,0.01318359375,-0.54931640625,0.8544921875,0.6103515625,0,0,0,0.0,0.0,0.0,28.15,,,,,,,1.0098428309308203,1.1850883690763916
elevator-unknown,1773735419347,2026-03-17 16:16:59.347,1773735419344,3,1,-0.4482421875,0.88330078125,0.009765625,0.1220703125,0.732421875,0.732421875,0,0,0,0.0,0.0,0.0,28.15,,,,,,,0.9905739226545822,1.0429692071920815
elevator-unknown,1773735419371,2026-03-17 16:16:59.371,1773735419370,1,1,-0.4267578125,0.8818359375,0.02001953125,0.06103515625,0.30517578125,0.67138671875,0,0,0,0.0,0.0,0.0,28.34,,,,,,,0.9798763354769615,0.7400119417103358
elevator-unknown,1773735419394,2026-03-17 16:16:59.394,1773735419394,0,1,-0.451171875,0.8876953125,0.02001953125,-0.244140625,0.9765625,0.67138671875,0,0,0,0.0,0.0,0.0,28.15,,,,,,,0.9959717918982234,1.2099748291991583
elevator-unknown,1773735419429,2026-03-17 16:16:59.429,1773735419420,9,1,-0.4482421875,0.88134765625,-0.00634765625,-0.1220703125,0.6103515625,0.67138671875,0,0,0,0.0,0.0,0.0,28.15,,,,,,,0.988804855657587,0.91552734375
elevator-unknown,1773735419452,2026-03-17 16:16:59.452,1773735419445,7,1,-0.42578125,0.8984375,0.00146484375,-0.244140625,0.732421875,0.6103515625,0,0,0,0.0,0.0,0.0,28.09,,,,,,,0.9942242000801552,0.9841623227903503
elevator-unknown,1773735419476,2026-03-17 16:16:59.476,1773735419469,7,1,-0.43896484375,0.86474609375,0.00146484375,-0.1220703125,0.67138671875,0.67138671875,0,0,0,0.0,0.0,0.0,27.96,,,,,,,0.9697824944138544,0.9572990198582838
elevator-unknown,1773735419499,2026-03-17 16:16:59.499,1773735419494,5,1,-0.44580078125,0.8955078125,0.01611328125,0.0,0.48828125,0.79345703125,0,0,0,0.0,0.0,0.0,28.09,,,,,,,1.0004659997442626,0.9316612257369231
elevator-unknown,1773735419522,2026-03-17 16:16:59.522,1773735419519,3,1,-0.4541015625,0.88720703125,0.02880859375,0.1220703125,0.67138671875,0.6103515625,0,0,0,0.0,0.0,0.0,28.09,,,,,,,0.9970829857329992,0.91552734375
elevator-unknown,1773735419545,2026-03-17 16:16:59.545,1773735419544,1,1,-0.44140625,0.89501953125,0.00927734375,-0.30517578125,0.6103515625,0.79345703125,0,0,0,0.0,0.0,0.0,28.02,,,,,,,0.9979907354104486,1.046534924284805
elevator-unknown,1773735419579,2026-03-17 16:16:59.579,1773735419570,9,1,-0.46630859375,0.89599609375,0.01513671875,-0.244140625,0.6103515625,0.732421875,0,0,0,0.0,0.0,0.0,28.15,,,,,,,1.0101890045307749,0.9841623227903503
