elevator_id,ts_ms,ts,data_ts_ms,data_age_ms,is_new_frame,Ax,Ay,Az,Gx,Gy,Gz,vx,vy,vz,ax,ay,az,t,sx,sy,sz,fx,fy,fz,A_mag,G_mag
elevator-001,1770089555480,2026-02-03 11:32:35.480,1770089555480,0,1,0.9546075,0.196185,0.0368445,-0.305176,0.7324224,0.5493168,0.0,0.0,0.0,1.1425648,90.3560019,-3.3343117,26.93,0,0,0,4,8,1,0.9752546080185933,0.9650512472195454
elevator-001,1770089555982,2026-02-03 11:32:35.982,1770089555982,0,1,0.9574785,0.1937925,0.0358875,-0.4272464,0.7324224,0.6713872,0.0,0.0,0.0,1.1425648,90.3560019,-3.3288186,26.95,0,1,0,4,8,1,0.9775523125003337,1.0815464995359931
elevator-001,1770089556484,2026-02-03 11:32:36.484,1770089556484,0,1,0.9546075,0.197142,0.0368445,-0.305176,0.7324224,0.7934576,0.0,0.0,0.0,1.1425648,90.3560019,-3.3343117,26.94,4,6,1,5,7,2,0.9754475713232875,1.1221184990880064
elevator-001,1770089556986,2026-02-03 11:32:36.986,1770089556986,0,1,0.94743,0.185658,0.0244035,-0.2441408,0.7934576,0.4882816,0.0,0.0,0.0,1.1425648,90.361495,-3.3288186,26.95,1,1,1,5,7,2,0.965757748442253,0.9631192107527291
elevator-001,1770089557489,2026-02-03 11:32:37.489,1770089557489,0,1,0.93786,0.1842225,0.0148335,-0.4272464,0.6713872,0.6713872,0.0,0.0,0.0,1.1425648,90.361495,-3.3288186,26.94,2,1,1,8,13,4,0.9558971397742019,1.0411825156813959
elevator-001,1770089557990,2026-02-03 11:32:37.990,1770089557990,0,1,0.934989,0.1784805,0.0138765,-0.2441408,0.610352,0.7324224,0.0,0.0,0.0,1.1425648,90.361495,-3.3288186,26.94,1,2,1,8,13,4,0.9519728337791472,0.9841630282379034
elevator-001,1770089558492,2026-02-03 11:32:38.492,1770089558492,0,1,0.960828,0.195228,0.044022,-0.3662112,0.8544928,0.610352,0.0,0.0,0.0,1.1425648,90.361495,-3.3233255,26.94,1,3,1,15,18,11,0.9814491092522322,1.1121142711795762
elevator-001,1770089558995,2026-02-03 11:32:38.995,1770089558995,0,1,0.9613065,0.199056,0.0358875,-0.305176,0.8544928,0.6713872,0.0,0.0,0.0,1.1425648,90.361495,-3.3288186,26.95,1,1,1,15,18,11,0.9823550227562843,1.1287387246620362
elevator-001,1770089559497,2026-02-03 11:32:39.497,1770089559497,0,1,0.9584355,0.182787,0.0435435,0.0610352,0.7324224,0.6713872,0.0,0.0,0.0,1.1425648,90.361495,-3.3288186,26.94,1,1,2,11,26,11,0.9766809773009302,0.995453986874652
elevator-001,1770089559999,2026-02-03 11:32:39.999,1770089559999,0,1,0.9603495,0.1746525,0.0349305,-0.4882816,0.610352,0.5493168,0.0,0.0,0.0,1.1425648,90.3669881,-3.3288186,26.94,2,1,2,11,26,11,0.9767265726582594,0.9553519935420661
elevator-001,1770089560501,2026-02-03 11:32:40.501,1770089560501,0,1,0.9622635,0.214368,0.049764,-0.305176,0.7934576,0.7934576,0.0,0.0,0.0,1.1425648,90.3669881,-3.3288186,26.94,2,1,1,14,11,13,0.9871074604885985,1.1628767419514072
elevator-001,1770089561003,2026-02-03 11:32:41.003,1770089561003,0,1,0.934032,0.206712,0.0272745,-0.7324224,0.7324224,0.6713872,0.0,0.0,0.0,1.1425648,90.3669881,-3.3288186,26.95,1,1,1,14,11,13,0.957021173390772,1.2343605293298063
elevator-001,1770089561505,2026-02-03 11:32:41.505,1770089561505,0,1,0.9708765,0.199056,0.044022,-0.6713872,0.6713872,0.6713872,0.0,0.0,0.0,1.1425648,90.3669881,-3.3343117,26.93,1,1,1,10,15,13,0.9920495984940724,1.1628767419514072
elevator-001,1770089562007,2026-02-03 11:32:42.007,1770089562007,0,1,0.9498225,0.186615,0.042108,-0.0610352,0.6713872,0.6713872,0.0,0.0,0.0,1.1425648,90.3669881,-3.3343117,26.94,1,1,0,10,15,13,0.9688968074027543,0.9514446070511514
elevator-001,1770089562509,2026-02-03 11:32:42.509,1770089562509,0,1,0.9546075,0.197142,0.043065,-0.0610352,0.7934576,0.8544928,0.0,0.0,0.0,1.1425648,90.3669881,-3.3343117,26.93,1,1,2,9,8,9,0.9757023323971559,1.1676721303039823
