elevator_id,ts_ms,ts,data_ts_ms,data_age_ms,is_new_frame,Ax,Ay,Az,Gx,Gy,Gz,vx,vy,vz,ax,ay,az,t,sx,sy,sz,fx,fy,fz,A_mag,G_mag
elevator-001,1770086303206,2026-02-03 10:38:23.206,1770086303206,0,1,0.952215,0.198099,0.034452,-0.4272464,0.6713872,0.7324224,0.0,0.0,0.0,1.1041131,90.3560019,-3.1750118,26.96,1,2,1,1,5,0,0.9732130087139198,1.0815464995359931
elevator-001,1770086303708,2026-02-03 10:38:23.708,1770086303708,0,1,0.9526935,0.1813515,0.0253605,-0.305176,0.9765632,0.610352,0.0,0.0,0.0,1.1041131,90.3560019,-3.1750118,26.97,2,7,1,1,5,0,0.9701321695803876,1.1913595756421484
elevator-001,1770086304210,2026-02-03 10:38:24.210,1770086304210,0,1,0.948387,0.1890075,0.0215325,-0.305176,0.7324224,0.6713872,0.0,0.0,0.0,1.1041131,90.3560019,-3.1805049,26.96,1,3,1,12,11,6,0.9672773053170947,1.039392002721591
elevator-001,1770086304713,2026-02-03 10:38:24.713,1770086304713,0,1,0.946473,0.1966635,0.0425865,-0.0610352,0.6713872,0.7324224,0.0,0.0,0.0,1.1041131,90.3560019,-3.1805049,26.96,1,1,0,12,11,6,0.9676266232093348,0.995453986874652
elevator-001,1770086305215,2026-02-03 10:38:25.215,1770086305215,0,1,0.946473,0.1966635,0.0425865,-0.0610352,0.6713872,0.7324224,0.0,0.0,0.0,1.1041131,90.3560019,-3.1805049,26.96,1,1,0,12,11,6,0.9676266232093348,0.995453986874652
elevator-001,1770086305717,2026-02-03 10:38:25.717,1770086305717,0,1,0.9546075,0.1928355,0.042108,-0.305176,0.6713872,0.915528,0.0,0.0,0.0,1.1041131,90.3560019,-3.185998,26.98,1,5,1,13,13,7,0.9747995141466269,1.1756209772217574
elevator-001,1770086306219,2026-02-03 10:38:26.219,1770086306219,0,1,0.9450375,0.207669,0.029667,-0.1831056,0.5493168,0.7934576,0.0,0.0,0.0,1.1041131,90.3560019,-3.1805049,26.95,2,3,1,15,22,12,0.968040505793146,0.982268583693564
elevator-001,1770086306721,2026-02-03 10:38:26.721,1770086306721,0,1,0.968484,0.2004915,0.058377,-0.4272464,0.8544928,0.5493168,0.0,0.0,0.0,1.1041131,90.3560019,-3.1805049,26.97,1,2,2,15,22,12,0.990740114236448,1.1020192277483365
elevator-001,1770086307223,2026-02-03 10:38:27.223,1770086307223,0,1,0.9565215,0.2129325,0.0492855,-0.305176,0.7934576,0.7934576,0.0,0.0,0.0,1.1041131,90.3560019,-3.185998,26.96,1,1,1,16,17,16,0.981174138483455,1.1628767419514072
elevator-001,1770086307725,2026-02-03 10:38:27.725,1770086307725,0,1,0.949344,0.185658,0.022011,-0.3662112,0.7934576,0.610352,0.0,0.0,0.0,1.1041131,90.3560019,-3.185998,26.96,1,1,1,16,17,16,0.9675781143768186,1.0659339425626713
elevator-001,1770086308227,2026-02-03 10:38:28.227,1770086308227,0,1,0.961785,0.205755,0.068904,-0.305176,0.8544928,0.7324224,0.0,0.0,0.0,1.1041131,90.361495,-3.185998,26.97,1,2,1,16,17,16,0.9859580454897662,1.1660758587028548
elevator-001,1770086308729,2026-02-03 10:38:28.729,1770086308729,0,1,0.9804465,0.1794375,0.0473715,-0.1831056,0.915528,0.5493168,0.0,0.0,0.0,1.1041131,90.3560019,-3.185998,26.96,2,1,1,12,11,18,0.9978563096862945,1.083267338332325
elevator-001,1770086309232,2026-02-03 10:38:29.232,1770086309232,0,1,0.964656,0.1813515,0.0339735,-0.305176,0.7324224,0.7324224,0.0,0.0,0.0,1.1041131,90.361495,-3.185998,26.96,1,1,1,18,10,13,0.982142435490138,1.0798229183618582
elevator-001,1770086309734,2026-02-03 10:38:29.734,1770086309734,0,1,0.9498225,0.1899645,0.037323,-0.3662112,0.9765632,0.7324224,0.0,0.0,0.0,1.1041131,90.3560019,-3.185998,26.97,1,2,1,18,10,13,0.9693514837743326,1.2744523916653143
elevator-001,1770086310237,2026-02-03 10:38:30.237,1770086310237,0,1,0.960828,0.1899645,0.036366,-0.3662112,0.6713872,0.7324224,0.0,0.0,0.0,1.1041131,90.361495,-3.185998,26.96,2,1,1,11,12,9,0.9801017512484355,1.0589211431221117
elevator-001,1770086310739,2026-02-03 10:38:30.739,1770086310739,0,1,0.955086,0.1937925,0.041151,-0.1831056,0.915528,0.610352,0.0,0.0,0.0,1.1041131,90.3560019,-3.185998,26.98,1,2,0,11,12,9,0.9754169391871612,1.1154589833065849
elevator-001,1770086311241,2026-02-03 10:38:31.241,1770086311241,0,1,0.9546075,0.188529,0.0368445,-0.1220704,0.7324224,0.610352,0.0,0.0,0.0,1.1041131,90.3560019,-3.185998,26.96,1,2,0,11,11,2,0.9737433851264408,0.9611832907837714
elevator-001,1770086311744,2026-02-03 10:38:31.744,1770086311744,0,1,0.955086,0.194271,0.039237,-0.1831056,0.6713872,0.6713872,0.0,0.0,0.0,1.1041131,90.3560019,-3.185998,26.96,1,1,1,11,11,2,0.9754332529732621,0.9669794234620713
elevator-001,1770086312246,2026-02-03 10:38:32.246,1770086312246,0,1,0.955086,0.1937925,0.03828,-0.2441408,0.6713872,0.6713872,0.0,0.0,0.0,1.1041131,90.361495,-3.185998,26.96,0,1,1,7,8,3,0.9753000352979846,0.9803704783765778
elevator-001,1770086312748,2026-02-03 10:38:32.748,1770086312748,0,1,0.9555645,0.193314,0.0406725,-0.305176,0.8544928,0.6713872,0.0,0.0,0.0,1.1041131,90.3560019,-3.185998,26.97,0,1,0,7,8,3,0.9757704999191665,1.1287387246620362
elevator-001,1770086313250,2026-02-03 10:38:33.250,1770086313250,0,1,0.9641775,0.198099,0.0224895,-0.3662112,0.7934576,0.6713872,3.0,2.0,4.0,1.1041131,90.3560019,-3.185998,26.97,2,3,7,0,2,0,0.9845746507591489,1.1020192277483365
elevator-001,1770086313753,2026-02-03 10:38:33.753,1770086313753,0,1,0.958914,0.1918785,0.039237,-0.2441408,0.7934576,0.7324224,0.0,0.0,0.0,1.1041131,90.3560019,-3.185998,26.96,0,1,0,0,2,0,0.9787098448096097,1.1070782561518224
elevator-001,1770086314255,2026-02-03 10:38:34.255,1770086314255,0,1,0.958914,0.192357,0.0406725,-0.305176,0.6713872,0.7934576,0.0,0.0,0.0,1.1041131,90.3505088,-3.185998,26.96,0,1,1,11,15,13,0.9788623637168048,1.083267338332325
elevator-001,1770086314757,2026-02-03 10:38:34.757,1770086314757,0,1,0.9555645,0.1909215,0.036366,-0.305176,0.6713872,0.7934576,0.0,0.0,0.0,1.1041131,90.3505088,-3.185998,26.96,0,1,0,11,15,13,0.9751292318346836,1.083267338332325
elevator-001,1770086315259,2026-02-03 10:38:35.259,1770086315259,0,1,0.9555645,0.192357,0.0368445,-0.2441408,0.7324224,0.6713872,0.0,0.0,0.0,1.1041131,90.3505088,-3.185998,26.97,0,0,0,3,5,0,0.9754292625759697,1.023136390991074
elevator-001,1770086315762,2026-02-03 10:38:35.762,1770086315762,0,1,0.955086,0.1914,0.0387585,-0.3662112,0.6713872,0.610352,0.0,0.0,0.0,1.1041131,90.3505088,-3.185998,26.96,0,0,0,3,5,0,0.9748463718546887,0.9784686909826394
elevator-001,1770086316264,2026-02-03 10:38:36.264,1770086316264,0,1,0.9565215,0.192357,0.041151,-0.305176,0.7324224,0.610352,0.0,0.0,0.0,1.1041131,90.3505088,-3.185998,26.97,0,0,0,0,0,0,0.9765387858207425,1.0010517104034937
elevator-001,1770086316766,2026-02-03 10:38:36.766,1770086316766,0,1,0.956043,0.1928355,0.03828,-0.305176,0.7324224,0.7934576,0.0,0.0,0.0,1.1041131,90.3505088,-3.185998,26.96,0,0,0,0,0,0,0.9760476967388683,1.1221184990880064
elevator-001,1770086317268,2026-02-03 10:38:37.268,1770086317268,0,1,0.9593925,0.192357,0.0378015,-0.3662112,0.5493168,0.6713872,0.0,0.0,0.0,1.1041131,90.3505088,-3.185998,26.97,0,0,0,0,1,0,0.9792160833582647,0.9416052050044753
elevator-001,1770086317773,2026-02-03 10:38:37.773,1770086317773,0,1,0.957,0.1918785,0.0397155,0.0,0.7324224,0.6713872,0.0,0.0,0.0,1.1041131,90.3505088,-3.185998,26.96,0,0,0,0,1,0,0.9768539705106899,0.9935810708470648
elevator-001,1770086318275,2026-02-03 10:38:38.275,1770086318275,0,1,0.954129,0.1899645,0.042108,-0.3662112,0.7934576,0.7934576,0.0,0.0,0.0,1.1041131,90.3505088,-3.185998,26.96,0,0,0,0,0,0,0.9737667808901934,1.1803645915567613
