elevator_id,ts_ms,ts,data_ts_ms,data_age_ms,is_new_frame,Ax,Ay,Az,Gx,Gy,Gz,vx,vy,vz,ax,ay,az,t,sx,sy,sz,fx,fy,fz,A_mag,G_mag
elevator-001,1770089385280,2026-02-03 11:29:45.280,1770089385280,0,1,0.9708765,0.203841,0.0808665,-0.3662112,0.8544928,0.6713872,0.0,0.0,0.0,1.09862,90.3560019,-3.3178324,26.94,1,1,1,16,18,15,0.9953349799718184,1.1467472958682396
elevator-001,1770089385782,2026-02-03 11:29:45.782,1770089385782,0,1,0.9708765,0.203841,0.0808665,-0.3662112,0.8544928,0.6713872,0.0,0.0,0.0,1.09862,90.3560019,-3.3178324,26.94,1,1,1,16,18,15,0.9953349799718184,1.1467472958682396
elevator-001,1770089386284,2026-02-03 11:29:46.284,1770089386284,0,1,0.93786,0.2024055,0.006699,-0.305176,0.6713872,0.7934576,0.0,0.0,0.0,1.09862,90.3560019,-3.3178324,26.92,1,1,1,16,18,15,0.9594760250424448,1.083267338332325
elevator-001,1770089386787,2026-02-03 11:29:46.787,1770089386787,0,1,0.962742,0.1899645,0.044022,-0.3662112,0.6713872,0.610352,0.0,0.0,0.0,1.09862,90.361495,-3.3233255,26.94,2,2,1,15,17,13,0.9822915078062366,0.9784686909826394
elevator-001,1770089387289,2026-02-03 11:29:47.289,1770089387289,0,1,0.938817,0.208626,0.016269,-0.3662112,0.8544928,0.5493168,0.0,0.0,0.0,1.09862,90.361495,-3.3233255,26.95,1,1,1,15,17,13,0.961855939174885,1.0798229183618582
elevator-001,1770089387791,2026-02-03 11:29:47.791,1770089387791,0,1,0.9584355,0.187572,0.036366,-0.305176,0.7324224,0.7934576,0.0,0.0,0.0,1.09862,90.361495,-3.3178324,26.95,1,1,1,12,11,14,0.9772944023170551,1.1221184990880064
elevator-001,1770089388293,2026-02-03 11:29:48.293,1770089388293,0,1,0.9574785,0.1832655,0.048807,-0.1831056,0.6713872,0.610352,0.0,0.0,0.0,1.09862,90.361495,-3.3233255,26.95,0,1,1,8,11,6,0.9760806548136788,0.9256446386055504
elevator-001,1770089388795,2026-02-03 11:29:48.795,1770089388795,0,1,0.950301,0.188529,0.0358875,-0.3662112,0.7324224,0.6713872,0.0,0.0,0.0,1.09862,90.361495,-3.3233255,26.94,1,1,1,8,11,6,0.969485991182054,1.0589211431221117
elevator-001,1770089389297,2026-02-03 11:29:49.297,1770089389297,0,1,0.957957,0.188529,0.0330165,-0.1220704,0.7324224,0.7324224,0.0,0.0,0.0,1.09862,90.3560019,-3.3233255,26.95,3,2,0,8,11,6,0.9768904170695144,1.0429699547924092
elevator-001,1770089389799,2026-02-03 11:29:49.799,1770089389799,0,1,0.958914,0.1937925,0.0425865,-0.1831056,0.6713872,0.7324224,0.0,0.0,0.0,1.09862,90.3560019,-3.3233255,26.94,2,1,0,10,11,3,0.9792268391105813,1.0103123304686328
elevator-001,1770089390301,2026-02-03 11:29:50.301,1770089390301,0,1,0.958914,0.1937925,0.0425865,-0.1831056,0.6713872,0.7324224,0.0,0.0,0.0,1.09862,90.3560019,-3.3233255,26.94,2,1,0,10,11,3,0.9792268391105813,1.0103123304686328
elevator-001,1770089390803,2026-02-03 11:29:50.803,1770089390803,0,1,0.952215,0.197142,0.042108,-0.2441408,0.7324224,0.610352,0.0,0.0,0.0,1.09862,90.361495,-3.3233255,26.95,1,2,1,12,11,2,0.9733198128328633,0.9841630282379032
elevator-001,1770089391305,2026-02-03 11:29:51.305,1770089391305,0,1,0.9546075,0.1957065,0.037323,-0.2441408,0.7324224,0.7324224,0.0,0.0,0.0,1.09862,90.361495,-3.3233255,26.94,0,2,0,5,11,4,0.9751766606761567,1.064185075195175
elevator-001,1770089391807,2026-02-03 11:29:51.807,1770089391807,0,1,0.956043,0.195228,0.03828,-0.2441408,0.8544928,0.6713872,0.0,0.0,0.0,1.1041131,90.3505088,-3.3233255,26.95,0,2,0,5,11,4,0.9765231939042718,1.1137878827677736
elevator-001,1770089392309,2026-02-03 11:29:52.309,1770089392309,0,1,0.9546075,0.188529,0.03828,-0.2441408,0.610352,0.7324224,0.0,0.0,0.0,1.1041131,90.3505088,-3.3233255,26.94,0,1,1,5,11,4,0.9737987581103449,0.9841630282379034
elevator-001,1770089392811,2026-02-03 11:29:52.811,1770089392811,0,1,0.954129,0.1870935,0.0445005,-0.3662112,0.610352,0.6713872,0.0,0.0,0.0,1.1041131,90.3505088,-3.3233255,26.94,1,1,1,8,13,10,0.9733172252064072,0.9784686909826394
elevator-001,1770089393313,2026-02-03 11:29:53.313,1770089393313,0,1,0.956043,0.1918785,0.0368445,-0.2441408,0.8544928,0.6713872,0.0,0.0,0.0,1.1041131,90.3505088,-3.3233255,26.95,0,0,1,3,6,12,0.9758038193159012,1.1137878827677736
elevator-001,1770089393815,2026-02-03 11:29:53.815,1770089393815,0,1,0.9555645,0.192357,0.0378015,-0.3662112,0.7324224,0.6713872,0.0,0.0,0.0,1.1041131,90.3505088,-3.3233255,26.94,0,0,1,3,6,12,0.9754658797269642,1.0589211431221117
elevator-001,1770089394317,2026-02-03 11:29:54.317,1770089394317,0,1,0.9536505,0.1909215,0.0378015,-0.2441408,0.6713872,0.7324224,0.0,0.0,0.0,1.1041131,90.3505088,-3.3233255,26.94,0,1,1,0,1,3,0.9733084037008773,1.023136390991074
elevator-001,1770089394819,2026-02-03 11:29:54.819,1770089394819,0,1,0.9546075,0.189486,0.037323,-0.3662112,0.6713872,0.610352,0.0,0.0,0.0,1.1041131,90.3560019,-3.3233255,26.95,0,0,1,0,1,3,0.9739473443576147,0.9784686909826394
